wall_clock	lsl_clock	task	phase	response_type	participant	device_id	item_key	item_value
1772789445.239929	928830.149459	T1		vad	P4	tablet4	valence	7
1772789445.239929	928830.149459	T1		vad	P4	tablet4	arousal	6
1772789445.239929	928830.149459	T1		vad	P4	tablet4	dominance	3
1772789446.154142	928831.064008	T1		vad	P1	tablet1	valence	8
1772789446.154142	928831.064008	T1		vad	P1	tablet1	arousal	6
1772789446.154142	928831.064008	T1		vad	P1	tablet1	dominance	6
1772789449.233791	928834.143973	T1		vad	P3	tablet3	valence	7
1772789449.233791	928834.143973	T1		vad	P3	tablet3	arousal	7
1772789449.233791	928834.143973	T1		vad	P3	tablet3	dominance	5
1772789457.351884	928842.262059	T1		vad	P2	tablet2	valence	7
1772789457.351884	928842.262059	T1		vad	P2	tablet2	arousal	5
1772789457.351884	928842.262059	T1		vad	P2	tablet2	dominance	6
1772789594.605617	928979.515853	T1		vad	P1	tablet1	valence	7
1772789594.605617	928979.515853	T1		vad	P1	tablet1	arousal	6
1772789594.605617	928979.515853	T1		vad	P1	tablet1	dominance	7
1772789599.022638	928983.932674	T1		vad	P4	tablet4	valence	7
1772789599.022638	928983.932674	T1		vad	P4	tablet4	arousal	7
1772789599.022638	928983.932674	T1		vad	P4	tablet4	dominance	6
1772789600.916965	928985.82648	T1		vad	P2	tablet2	valence	8
1772789600.916965	928985.82648	T1		vad	P2	tablet2	arousal	8
1772789600.916965	928985.82648	T1		vad	P2	tablet2	dominance	3
1772789617.292922	929002.203053	T1		vad	P3	tablet3	valence	8
1772789617.292922	929002.203053	T1		vad	P3	tablet3	arousal	8
1772789617.292922	929002.203053	T1		vad	P3	tablet3	dominance	7
1772789747.643309	929132.553282	T1		vad	P3	tablet3	valence	8
1772789747.643309	929132.553282	T1		vad	P3	tablet3	arousal	8
1772789747.643309	929132.553282	T1		vad	P3	tablet3	dominance	8
1772789750.002435	929134.912111	T1		vad	P4	tablet4	valence	7
1772789750.002435	929134.912111	T1		vad	P4	tablet4	arousal	7
1772789750.002435	929134.912111	T1		vad	P4	tablet4	dominance	7
1772789766.092941	929151.002857	T1		vad	P1	tablet1	valence	7
