wall_clock	lsl_clock	task	phase	response_type	participant	device_id	item_key	item_value
1773836194.792493	9847.518808	T0		vad	P4	tablet4	valence	7
1773836194.792493	9847.518808	T0		vad	P4	tablet4	arousal	4
1773836194.792493	9847.518808	T0		vad	P4	tablet4	dominance	7
1773836204.930761	9857.657118	T0		vad	P1	tablet1	valence	9
1773836204.930761	9857.657118	T0		vad	P1	tablet1	arousal	7
1773836204.930761	9857.657118	T0		vad	P1	tablet1	dominance	7
1773836210.908753	9863.634782	T0		vad	P3	tablet3	valence	5
1773836210.908753	9863.634782	T0		vad	P3	tablet3	arousal	6
1773836210.908753	9863.634782	T0		vad	P3	tablet3	dominance	4
1773836218.552107	9871.278923	T0		vad	P2	tablet2	valence	8
1773836218.552107	9871.278923	T0		vad	P2	tablet2	arousal	8
1773836218.552107	9871.278923	T0		vad	P2	tablet2	dominance	7
1773836238.285795	9891.011757	T0		vad	P1	tablet1	valence	9
1773836238.285795	9891.011757	T0		vad	P1	tablet1	arousal	6
1773836238.285795	9891.011757	T0		vad	P1	tablet1	dominance	8
1773836537.901635	10190.627932	T1		vad	P1	tablet1	valence	6
1773836537.901635	10190.627932	T1		vad	P1	tablet1	arousal	5
1773836537.901635	10190.627932	T1		vad	P1	tablet1	dominance	3
1773836539.641553	10192.367797	T1		vad	P3	tablet3	valence	7
1773836539.641553	10192.367797	T1		vad	P3	tablet3	arousal	7
1773836539.641553	10192.367797	T1		vad	P3	tablet3	dominance	5
1773836613.599556	10266.325999	T1		vad	P4	tablet4	valence	5
1773836613.599556	10266.325999	T1		vad	P4	tablet4	arousal	3
1773836613.599556	10266.325999	T1		vad	P4	tablet4	dominance	8
1773836687.879488	10340.60622	T1		vad	P1	tablet1	valence	6
1773836687.879488	10340.60622	T1		vad	P1	tablet1	arousal	6
1773836687.879488	10340.60622	T1		vad	P1	tablet1	dominance	6
1773836690.569434	10343.295924	T1		vad	P3	tablet3	valence	7
1773836690.569434	10343.295924	T1		vad	P3	tablet3	arousal	4
1773836690.569434	10343.295924	T1		vad	P3	tablet3	dominance	4
1773836834.229366	10486.955867	T1		vad	P1	tablet1	valence	5
1773836834.229366	10486.955867	T1		vad	P1	tablet1	arousal	6
1773836834.229366	10486.955867	T1		vad	P1	tablet1	dominance	4
1773836843.893216	10496.619237	T1		vad	P3	tablet3	valence	7
1773836843.893216	10496.619237	T1		vad	P3	tablet3	arousal	6
1773836843.893216	10496.619237	T1		vad	P3	tablet3	dominance	6
1773836855.455325	10508.181636	T1		vad	P2	tablet2	valence	8
1773836855.455325	10508.181636	T1		vad	P2	tablet2	arousal	7
1773836855.455325	10508.181636	T1		vad	P2	tablet2	dominance	8
1773836864.134682	10516.860657	T1		form	P4	tablet4	selected_candidate	Candidate C
1773836981.060425	10633.786395	T1		postblock	P4	tablet4	decision_confidence	7
1773836981.060425	10633.786395	T1		postblock	P4	tablet4	dominance_p1	2
1773836981.060425	10633.786395	T1		postblock	P4	tablet4	dominance_p2	2
